,gene function,organism,oualidia_1_counts,phylum,class,order,family
38,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,2,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae
39,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Methylococcus capsulatus str. Bath,2,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
40,1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
41,1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,2,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
42,1-deoxy-D-xylulose-5-phosphate synthase,Chlamydophila pneumoniae AR39,1,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae
43,1-deoxy-D-xylulose-5-phosphate synthase,Gemmatimonas aurantiaca T-27,1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae
44,1-deoxy-D-xylulose-5-phosphate synthase,Gramella forsetii KT0803,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
45,1-deoxy-D-xylulose-5-phosphate synthase,Hirschia baltica ATCC 49814,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae
46,1-deoxy-D-xylulose-5-phosphate synthase,Marinobacter sp. ELB17,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
47,1-deoxy-D-xylulose-5-phosphate synthase,Methylocella silvestris BL2,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae
48,1-deoxy-D-xylulose-5-phosphate synthase,Oceanibulbus indolifex HEL-45,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
49,1-deoxy-D-xylulose-5-phosphate synthase,Prevotella ruminicola 23,1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
50,1-deoxy-D-xylulose-5-phosphate synthase,Pseudomonas fluorescens Pf-5,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
51,1-deoxy-D-xylulose-5-phosphate synthase,Rhodobacter sphaeroides 2.4.1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
52,1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
53,1-deoxy-D-xylulose-5-phosphate synthase,Sphingopyxis alaskensis RB2256,1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
54,1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,6,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
55,1-phosphatidylinositol-,Homo sapiens,2,Chordata,Mammalia,Primates,Hominidae
56,116 kDa U5 small nuclear ribonucleoprotein component isoform a,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae
57,12-oxophytodienoate reductase 1,gamma proteobacterium NOR5-3,2,Chordata,Mammalia,Primates,Hominidae
58,13 kDa ribonucleoprotein-associated protein,Phytophthora infestans T30-4,1,,Oomycetes,Peronosporales,
59,16S rRNA methyltransferase GidB,Arthrobacter chlorophenolicus A6,2,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
60,16S rRNA methyltransferase GidB,Brevibacterium mcbrellneri ATCC 49030,3,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae
61,16S rRNA processing protein,Croceibacter atlanticus HTCC2559,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
62,16S rRNA-processing protein RimM,Chromobacterium violaceum ATCC 12472,1,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae
63,16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,9,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae
64,16S rRNA-processing protein RimM,Vibrio fischeri ES114,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
65,18S ribosomal RNA,Olpidium brassicae,1,,,,Olpidiaceae
66,1A family penicillin-binding protein,Alkalilimnicola ehrlichii MLHE-1,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
67,1A family penicillin-binding protein,Burkholderia ambifaria AMMD,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
68,1A family penicillin-binding protein,Geobacter sulfurreducens PCA,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae
69,2''-deoxycytidine 5''-triphosphate deaminase,Roseovarius nubinhibens ISM,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
70,2-C-methyl-D-erythritol,Clostridium botulinum F str. Langeland,1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
71,2-C-methyl-D-erythritol,Deferribacter desulfuricans SSM1,2,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
72,2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
73,2-C-methyl-D-erythritol,Vibrio harveyi ATCC BAA-1116,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
74,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bacillus clausii KSM-K16,1,Firmicutes,Bacilli,Bacillales,Bacillaceae
75,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bacteroides sp. 2_2_4,1,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
76,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Prevotella oris F0302,1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
77,2-amino-3-ketobutyrate coenzyme A ligase,Anaeromyxobacter dehalogenans 2CP-C,1,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae
78,2-amino-3-ketobutyrate coenzyme A ligase,Francisella tularensis subsp. tularensis WY96-3418,1,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae
79,2-amino-3-ketobutyrate coenzyme A ligase,Hahella chejuensis KCTC 2396,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae
80,2-amino-3-ketobutyrate coenzyme A ligase,Haliangium ochraceum DSM 14365,1,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae
81,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Rhodospirillum centenum SW,1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
82,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Streptococcus pyogenes MGAS2096,1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
83,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Streptomyces avermitilis MA-4680,1,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
84,2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,2,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
85,2-dehydro-3-deoxyglucarate aldolase,Rhodoferax ferrireducens T118,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
86,2-dehydro-3-deoxyphosphooctonate aldolase,Allochromatium vinosum DSM 180,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
87,2-dehydro-3-deoxyphosphooctonate aldolase,Arcobacter butzleri RM4018,2,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
88,2-dehydro-3-deoxyphosphooctonate aldolase,Bartonella tribocorum CIP 105476,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae
89,2-dehydro-3-deoxyphosphooctonate aldolase,Bordetella parapertussis 12822,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
90,2-dehydro-3-deoxyphosphooctonate aldolase,Dethiosulfovibrio peptidovorans DSM 11002,1,Synergistetes,Synergistia,Synergistales,Synergistaceae
91,2-dehydro-3-deoxyphosphooctonate aldolase,Leptospira biflexa serovar Patoc strain ''Patoc 1 (Ames)'',3,Spirochaetes,Spirochaetia,,Leptospiraceae
92,2-dehydro-3-deoxyphosphooctonate aldolase,Loktanella vestfoldensis SKA53,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
93,2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,3,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
94,2-dehydropantoate 2-reductase,Alteromonas macleodii ''Deep ecotype'',1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
95,2-dehydropantoate 2-reductase,Brevundimonas subvibrioides ATCC 15264,1,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
96,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
97,2-hydroxy-3-oxopropionate reductase,Idiomarina loihiensis L2TR,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae
98,2-hydroxyacid dehydrogenase,Alteromonas macleodii ''Deep ecotype'',1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
99,2-hydroxychromene-2-carboxylate isomeras,Limnobacter sp. MED105,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
100,2-hydroxychromene-2-carboxylate isomerase,Silicibacter lacuscaerulensis ITI-1157,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
101,2-hydroxyglutarate dehydrogenase,Shewanella woodyi ATCC 51908,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
102,2-isopropylmalate synthase,Bacteroides fragilis YCH46,1,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
103,2-isopropylmalate synthase,Candidatus Pelagibacter ubique HTCC1062,44,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
104,2-isopropylmalate synthase,Corynebacterium efficiens YS-314,1,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae
105,2-isopropylmalate synthase,Mycobacterium sp. Spyr1,2,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae
106,2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
107,2-isopropylmalate synthase,Parvibaculum lavamentivorans DS-1,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
108,2-isopropylmalate synthase,Pasteurella multocida subsp. multocida str. Pm70,3,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
109,2-isopropylmalate synthase,Psychrobacter sp. PRwf-1,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
110,2-isopropylmalate synthase,Rhodobacter sphaeroides ATCC 17025,3,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
111,2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,4,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
112,2-isopropylmalate synthase,Roseiflexus sp. RS-1,3,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae
113,2-isopropylmalate synthase,Roseovarius nubinhibens ISM,5,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
114,2-isopropylmalate synthase,Streptomyces sp. ACTE,4,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
115,2-isopropylmalate synthase,beta proteobacterium KB13,4,Proteobacteria,Betaproteobacteria,Methylophilales,
116,2-isopropylmalate synthase,gamma proteobacterium NOR5-3,1,Chordata,Mammalia,Primates,Hominidae
117,2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Maribacter sp. HTCC2170,4,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
118,2-keto-4-pentenoatehydratase/2-oxohepta-3-ene-,Geobacillus thermodenitrificans NG80-2,1,Firmicutes,Bacilli,Bacillales,Bacillaceae
119,2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,3,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
120,2-ketoisovalerate ferredoxin reductase,Parabacteroides distasonis ATCC 8503,1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
121,2-methylcitrate dehydratase,beta proteobacterium KB13,5,Proteobacteria,Betaproteobacteria,Methylophilales,
122,2-methylcitrate synthase/citrate synthase II,Burkholderia sp. CCGE1002,2,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
123,2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,1,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae
124,2-methylisocitrate dehydratas,Acinetobacter junii SH205,7,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
125,2-methylisocitratelyase 2,Bdellovibrio bacteriovorus HD100,1,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae
126,2-methylthioadenine synthetase,Candidatus Puniceispirillum marinum IMCC1322,4,Proteobacteria,Alphaproteobacteria,,
127,2-nitropropane dioxygenas,Gluconacetobacter hansenii ATCC 23769,1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
128,2-nitropropane dioxygenase,Dokdonia donghaensis MED134,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
129,2-nitropropane dioxygenase NPD,Comamonas testosteroni KF-1,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
130,2-nitropropane dioxygenase NPD,Parvibaculum lavamentivorans DS-1,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
131,2-nitropropane dioxygenase NPD,Pseudomonas putida W619,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
132,2-octaprenyl-6-methoxyphenyl hydroxylase,Neptuniibacter caesariensis,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
133,2-oxo acid dehydrogenases acyltransferase (catalytic domain) protein,Synechococcus sp. PCC 7335,1,Cyanobacteria,,Synechococcales,Synechococcaceae
134,2-oxo-acid dehydrogenase E1 subuni,Alicycliphilus denitrificans BC,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
135,2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,1,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
136,2-oxoglutarate decarboxylase,Actinomyces urogenitalis DSM 15434,1,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae
137,2-oxoglutarate decarboxylase,marine actinobacterium PHSC20C1,1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
138,2-oxoglutarate dehydrogenas,Acidiphilium cryptum JF-5,6,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
139,2-oxoglutarate dehydrogenas,Croceibacter atlanticus HTCC2559,3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
140,2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,2,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
141,2-oxoglutarate dehydrogenas,Mesorhizobium opportunistum WSM2075,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae
142,2-oxoglutarate dehydrogenas,Nitrococcus mobilis Nb-231,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
143,2-oxoglutarate dehydrogenas,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,5,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae
144,2-oxoglutarate dehydrogenas,Pelagibaca bermudensis HTCC2601,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
145,2-oxoglutarate dehydrogenas,Pseudomonas syringae pv. tomato str. DC3000,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
146,2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,18,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae
147,2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae
148,2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
149,2-oxoglutarate dehydrogenase E1 component,Photobacterium damselae subsp. damselae CIP 102761,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
150,2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,5,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
151,2-oxoglutarate dehydrogenase E1 component,Xanthobacter autotrophicus Py2,3,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae
152,2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
153,2-oxoglutarate dehydrogenase comple,Flavobacteria bacterium BBFL7,1,Bacteroidetes,Flavobacteriia,,
154,2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
155,2-oxoglutarate ferredoxin oxidoreductase subunit beta,Mycobacterium parascrofulaceum ATCC BAA-614,1,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae
156,2-oxoglutarate synthase subunit KorA,Campylobacterales bacterium GD 1,1,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
157,2-oxoisovalerate dehydrogenase E2 componen,Algoriphagus sp. PR1,2,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae
158,2-oxoisovalerate dehydrogenase beta subuni,Tetrahymena thermophila,1,,Oligohymenophorea,Hymenostomatida,Tetrahymenidae
159,2-oxoisovalerate dehydrogenase beta subunit,Parabacteroides distasonis ATCC 8503,1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
160,2-polyprenyl-3-methyl-6-methoxy-,Ralstonia solanacearum UW551,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
161,2-polyprenyl-6-methoxyphenol 4-hydroxylase,marine gamma proteobacterium HTCC2148,2,,,,
162,2-polyprenyl-6-methoxyphenol hydroxylase,Acinetobacter johnsonii SH046,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
163,2-pyrone-,Reinekea blandensis MED297,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae
164,23S rRNA (Uracil-5-)-methyltransferase rumA,Oceanicola batsensis HTCC2597,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
165,23S rRNA (uracil-5-)-methyltransferase RumA,Escherichia albertii TW07627,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
166,23S rRNA (uracil-5-)-methyltransferase RumA,Prevotella sp. oral taxon 299 str. F0039,1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
167,23S rRNA m(5)u-1939 methyltransferase,Paludibacter propionicigenes WB4,1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
168,23S rRNA methylase,Erythrobacter sp. NAP1,1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
169,23S rRNA methyltransferase J,Shewanella sediminis HAW-EB3,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
170,23S rRNA methyltransferase/RumA,marine actinobacterium PHSC20C1,2,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
171,23S rRNA pseudouridylate synthase C,Enterobacter cloacae subsp. cloacae ATCC 13047,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
172,23S rRNA pseudouridylate synthase C,Mannheimia succiniciproducens MBEL55E,3,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
173,26S protease regulatory subunit 8,Dictyostelium discoideum AX4,2,,,Dictyosteliida,
174,26S proteasome non-ATPase regulatory subunit 3,Homo sapiens,1,Chordata,Mammalia,Primates,Hominidae
175,26S proteasome regulatory comple,Physcomitrella patens subsp. patens,1,Streptophyta,Bryopsida,Funariales,Funariaceae
176,26S proteasome regulatory particle chain rpt6-like protein,Thalassiosira pseudonana CCMP1335,1,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
177,26S proteasome subunit,Thalassiosira pseudonana CCMP1335,1,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
178,27kDa outer membrane protein,Rhodobacterales bacterium HTCC2255,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
179,28S ribosomal RNA,Basidiobolus ranarum,7,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae
180,28S ribosomal RNA,Paxillus vernalis,1,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae
